------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:26:45 (uptime: 0d, 00h 01m 21s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
decoder.pkts                                  | Total                     | 98
decoder.bytes                                 | Total                     | 5376
decoder.ipv4                                  | Total                     | 90
decoder.ethernet                              | Total                     | 98
decoder.arp                                   | Total                     | 8
decoder.tcp                                   | Total                     | 90
tcp.syn                                       | Total                     | 45
tcp.rst                                       | Total                     | 45
decoder.avg_pkt_size                          | Total                     | 54
decoder.max_pkt_size                          | Total                     | 58
tcp.active_sessions                           | Total                     | 45
flow.total                                    | Total                     | 45
flow.active                                   | Total                     | 45
flow.tcp                                      | Total                     | 45
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 45
tcp.ssn_from_pool                             | Total                     | 45
flow.mgr.full_hash_pass                       | Total                     | 4
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 40
flow.mgr.flows_notimeout                      | Total                     | 40
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:27:34 (uptime: 0d, 00h 02m 10s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 118
capture.afpacket.polls                        | Total                     | 2211
capture.afpacket.poll_timeout                 | Total                     | 2097
capture.afpacket.poll_data                    | Total                     | 114
decoder.pkts                                  | Total                     | 118
decoder.bytes                                 | Total                     | 6468
decoder.ipv4                                  | Total                     | 108
decoder.ethernet                              | Total                     | 118
decoder.arp                                   | Total                     | 10
decoder.tcp                                   | Total                     | 108
tcp.syn                                       | Total                     | 54
tcp.rst                                       | Total                     | 54
decoder.avg_pkt_size                          | Total                     | 54
decoder.max_pkt_size                          | Total                     | 58
tcp.active_sessions                           | Total                     | 54
flow.total                                    | Total                     | 54
flow.active                                   | Total                     | 54
flow.tcp                                      | Total                     | 54
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 54
tcp.ssn_from_pool                             | Total                     | 54
flow.mgr.full_hash_pass                       | Total                     | 5
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 51
flow.mgr.flows_notimeout                      | Total                     | 51
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:27:42 (uptime: 0d, 00h 02m 18s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 138
capture.afpacket.polls                        | Total                     | 2579
capture.afpacket.poll_timeout                 | Total                     | 2445
capture.afpacket.poll_data                    | Total                     | 134
decoder.pkts                                  | Total                     | 138
decoder.bytes                                 | Total                     | 7560
decoder.ipv4                                  | Total                     | 126
decoder.ethernet                              | Total                     | 138
decoder.arp                                   | Total                     | 12
decoder.tcp                                   | Total                     | 126
tcp.syn                                       | Total                     | 63
tcp.rst                                       | Total                     | 63
decoder.avg_pkt_size                          | Total                     | 54
